Relationship, Support, Confidence, Lift, Leverage, Conviction
"{24746, 95398}' -> '{7190}", 0.023335, 0.941176, 36.876190, 0.022702, 16.566115
"{24746, 7190}' -> '{95398}", 0.023335, 0.979592, 36.972852, 0.022704, 47.701748
"{95398, 7190}' -> '{24746}", 0.023335, 0.941176, 37.230769, 0.022708, 16.570248
"{95398}' -> '{7190, 88631}", 0.023092, 0.871560, 36.587718, 0.022461, 7.600250
"{7190}' -> '{95398, 88631}", 0.023092, 0.904762, 37.597884, 0.022478, 10.247326
"{88631}' -> '{95398, 7190}", 0.023092, 0.931373, 37.565359, 0.022477, 14.210153
"{95398, 7190}' -> '{88631}", 0.023092, 0.931373, 37.565359, 0.022477, 14.210153
"{95398, 88631}' -> '{7190}", 0.023092, 0.959596, 37.597884, 0.022478, 24.118315
"{7190, 88631}' -> '{95398}", 0.023092, 0.969388, 36.587718, 0.022461, 31.801166
"{51657}' -> '{12305, 88631}", 0.023092, 0.887850, 36.895119, 0.022466, 8.702094
"{12305}' -> '{51657, 88631}", 0.023092, 0.616883, 25.896501, 0.022200, 2.547992
"{88631}' -> '{51657, 12305}", 0.023092, 0.931373, 36.842949, 0.022465, 14.203069
"{51657, 12305}' -> '{88631}", 0.023092, 0.913462, 36.842949, 0.022465, 11.269054
"{51657, 88631}' -> '{12305}", 0.023092, 0.969388, 25.896501, 0.022200, 31.443849
"{12305, 88631}' -> '{51657}", 0.023092, 0.959596, 36.895119, 0.022466, 24.106283
"{12305}' -> '{92490, 88631}", 0.023092, 0.616883, 26.163476, 0.022209, 2.548627
"{92490}' -> '{12305, 88631}", 0.023092, 0.896226, 37.243187, 0.022472, 9.404472
"{88631}' -> '{12305, 92490}", 0.023092, 0.931373, 36.842949, 0.022465, 14.203069
"{12305, 92490}' -> '{88631}", 0.023092, 0.913462, 36.842949, 0.022465, 11.269054
"{12305, 88631}' -> '{92490}", 0.023092, 0.959596, 37.243187, 0.022472, 24.112299
"{92490, 88631}' -> '{12305}", 0.023092, 0.979381, 26.163476, 0.022209, 46.684490
"{24746}' -> '{95398, 88631}", 0.023092, 0.913462, 37.959402, 0.022484, 11.277481
"{95398}' -> '{24746, 88631}", 0.023092, 0.871560, 36.964911, 0.022467, 7.602142
"{88631}' -> '{24746, 95398}", 0.023092, 0.931373, 37.565359, 0.022477, 14.210153
"{24746, 95398}' -> '{88631}", 0.023092, 0.931373, 37.565359, 0.022477, 14.210153
"{24746, 88631}' -> '{95398}", 0.023092, 0.979381, 36.964911, 0.022467, 47.214995
"{95398, 88631}' -> '{24746}", 0.023092, 0.959596, 37.959402, 0.022484, 24.124331
"{12305}' -> '{7190, 88631}", 0.023092, 0.616883, 25.896501, 0.022200, 2.547992
"{7190}' -> '{12305, 88631}", 0.023092, 0.904762, 37.597884, 0.022478, 10.247326
"{88631}' -> '{12305, 7190}", 0.023092, 0.931373, 37.565359, 0.022477, 14.210153
"{12305, 7190}' -> '{88631}", 0.023092, 0.931373, 37.565359, 0.022477, 14.210153
"{12305, 88631}' -> '{7190}", 0.023092, 0.959596, 37.597884, 0.022478, 24.118315
"{7190, 88631}' -> '{12305}", 0.023092, 0.969388, 25.896501, 0.022200, 31.443849
"{51657}' -> '{24746, 7190}", 0.023092, 0.887850, 37.271600, 0.022472, 8.704262
"{24746}' -> '{51657, 7190}", 0.023092, 0.913462, 37.207730, 0.022471, 11.271863
"{7190}' -> '{51657, 24746}", 0.023092, 0.904762, 36.853371, 0.022465, 10.242222
"{51657, 24746}' -> '{7190}", 0.023092, 0.940594, 36.853371, 0.022465, 16.403703
"{51657, 7190}' -> '{24746}", 0.023092, 0.940594, 37.207730, 0.022471, 16.407794
"{24746, 7190}' -> '{51657}", 0.023092, 0.969388, 37.271600, 0.022472, 31.817046
"{12305}' -> '{24746, 7190}", 0.023092, 0.616883, 25.896501, 0.022200, 2.547992
"{24746}' -> '{12305, 7190}", 0.023092, 0.913462, 36.842949, 0.022465, 11.269054
"{7190}' -> '{12305, 24746}", 0.023092, 0.904762, 36.853371, 0.022465, 10.242222
"{12305, 24746}' -> '{7190}", 0.023092, 0.940594, 36.853371, 0.022465, 16.403703
"{12305, 7190}' -> '{24746}", 0.023092, 0.931373, 36.842949, 0.022465, 14.203069
"{24746, 7190}' -> '{12305}", 0.023092, 0.969388, 25.896501, 0.022200, 31.443849
"{51657}' -> '{7190, 88631}", 0.022849, 0.878505, 36.879268, 0.022229, 8.034703
"{7190}' -> '{51657, 88631}", 0.022849, 0.895238, 37.581730, 0.022241, 9.318071
"{88631}' -> '{51657, 7190}", 0.022849, 0.921569, 37.537954, 0.022240, 12.436983
"{51657, 7190}' -> '{88631}", 0.022849, 0.930693, 37.537954, 0.022240, 14.070838
"{51657, 88631}' -> '{7190}", 0.022849, 0.959184, 37.581730, 0.022241, 23.874696
"{7190, 88631}' -> '{51657}", 0.022849, 0.959184, 36.879268, 0.022229, 23.862785
"{92490}' -> '{95398, 88631}", 0.022849, 0.886792, 36.851153, 0.022229, 8.620766
"{95398}' -> '{92490, 88631}", 0.022849, 0.862385, 36.575806, 0.022224, 7.095333
